id|accountid|type|ownerid|deal_license_activation_start_date__c|deal_license_activation_end_date__c|closedate|createddate|opportunity_stage_status__c|leadsource_category__c|deal_total_non_recurring__c|deal_total_recurring__c|currencyisocode|LeadSource|Deal_use_case__c|name
00609000002IvOmAAK|00109000005fu69AAA|Renew|00509000000V8g2AAC|2019-04-18|2020-04-18|2019-04-18|2019-06-25|Lost|Alliances|0.0|11585.630000000001|EUR|Partner Sourced - Alliances|No specific Use Case yet|Re-engineered dedicated Graphical User Interface
00609000002IuJXAA0|00109000005fsCOAAY|Renew|00509000000V8fYAAS|2019-04-25|2020-04-25|2019-04-25|2019-06-25|Won|Other|0.0|63096.54|EUR| | |De-engineered holistic model
00609000002IuaHAAS|00109000005ftG6AAI|Renew|00509000000V8dTAAS|2019-04-01|2020-03-31|2019-01-07|2019-01-07|Won|Marketing|0.0|41471.259999999995|EUR|Do not use - Marketing before 2021| |Managed eco-centric algorithm
00609000002IuI7AAK|00109000005fsBmAAI|Renew|00509000000V8dwAAC|2019-04-25|2020-04-24|2019-04-25|2018-09-07|Won|Other|0.0|91576.19|EUR| | |Seamless scalable focus group
00609000002IuW9AAK|00109000005fstfAAA|Renew|00509000000WaKaAAK|2019-05-23|2020-05-22|2019-05-22|2019-03-13|Won|Other|0.0|45340.63|EUR| | |Open-architected responsive hierarchy
00609000002Iv3GAAS|00109000005fs1sAAA|Renew|00509000000V8eQAAS|2019-05-01|2020-04-30|2019-06-01|2018-06-04|Won|Alliances|0.0|112479.05|EUR|Partner Sourced - Alliances| |Fundamental heuristic matrices
00609000002IuVaAAK|00109000005fssGAAQ|Renew|00509000000V8fYAAS|2019-05-01|2020-04-30|2019-05-01|2019-06-07|Won|Other|0.0|57148.04|EUR| |No specific Use Case yet|Devolved reciprocal model
00609000002IvKtAAK|00109000005ftKXAAY|Renew|00509000000Wm9iAAC|2019-06-28|2020-06-27|2019-07-01|2019-04-23|Won|Other|0.0|129591.69|EUR| | |Decentralized client-server groupware
00609000002IuiKAAS|00109000005fu4qAAA|Renew|00509000000V64gAAC|2019-06-01|2020-05-31|2018-07-01|2019-06-27|Won|Marketing|0.0|22392.52|EUR|Do not use - Marketing before 2021| |Cross-group 4thgeneration infrastructure
00609000002IvJAAA0|00109000005ftAfAAI|Renew|00509000000V8gMAAS|2019-06-25|2020-06-29|2018-06-15|2020-05-07|Won|Other|0.0|119948.34|EUR| | |De-engineered neutral groupware
00609000002IuFYAA0|00109000005fs0PAAQ|Renew|00509000000V8h0AAC|2019-07-01|2020-06-30|2019-01-01|2019-07-19|Won|Other|0.0|64018.05|EUR| | |Centralized modular project
00609000002IuDHAA0|00109000005frvfAAA|Renew|00509000000V8fdAAC|2019-07-18|2020-03-17|2019-07-18|2019-06-11|Won|Other|0.0|121344.28|EUR| |No specific Use Case yet|Stand-alone uniform open architecture
00609000002IuPMAA0|00109000005fsUGAAY|Renew|00509000000V8eLAAS|2019-07-15|2020-07-14|2019-07-15|2019-06-10|Won|Sales/CSM|22353.94|160136.73|EUR|Sales Generated Lead - AE, CSM, SDR| |Ameliorated systematic strategy
00609000002IvF5AAK|00109000005fspBAAQ|Renew|00509000000V8eLAAS|2019-09-15|2020-09-14|2019-09-15|2019-06-27|Won|Alliances|12524.22|64039.86|EUR|Partner Sourced - Alliances|No specific Use Case yet|Cloned encompassing alliance
00609000002IudnAAC|00109000005ftctAAA|Renew|00509000000V8eLAAS|2019-09-01|2020-08-31|2019-09-01|2019-08-28|Won|Sales/CSM|0.0|18891.03|EUR|Sales Generated Lead - AE, CSM, SDR| |Open-source actuating structure
00609000002IvC4AAK|00109000005fshdAAA|Renew|00509000000V8dTAAS|2019-11-05|2020-11-04|2019-11-04|2019-11-06|Won|Marketing|0.0|72747.89|EUR|Do not use - Marketing before 2021| |Managed bifurcated challenge
00609000002Iv7jAAC|00109000005fsIIAAY|Renew|00509000000V8fEAAS|2019-11-13|2020-11-12|2018-11-13|2020-01-15|Won|Sales/CSM|0.0|63023.229999999996|EUR|Sales Generated Lead - AE, CSM, SDR| |Operative bandwidth-monitored functionalities
00609000002IuFgAAK|00109000005fs0VAAQ|Renew|00509000000V8g2AAC|2019-12-23|2020-12-22|2019-12-24|2020-01-08|Won|Alliances|0.0|9384.96|EUR|Partner Sourced - Alliances| |Persistent encompassing collaboration
00609000002IuPzAAK|00109000005fsXYAAY|Renew|00509000000V8dIAAS|2019-12-31|2020-12-30|2019-12-31|2020-01-14|Won|Alliances|0.0|18792.55|EUR|Partner Sourced - Alliances|No specific Use Case yet|Future-proofed mobile parallelism
00609000002IvMsAAK|00109000005ftaxAAA|Renew|00509000000V8g2AAC|2019-12-31|2020-12-30|2019-12-31|2019-10-07|Won|Alliances|0.0|26475.02|EUR|Partner Sourced - Alliances|Embedded Analytics for Software Companies|Reactive uniform secured line
00609000002IuaTAAS|00109000005ftGKAAY|Renew|00509000000V8fTAAS|2019-12-01|2020-12-31|2019-12-01|2019-01-08|Won|Sales/CSM|0.0|124320.47|EUR|Sales Generated Lead - AE, CSM, SDR|No specific Use Case yet|Enhanced object-oriented frame
00609000002IuTlAAK|00109000005fsnpAAA|Renew|00509000000V8eLAAS|2020-01-01|2020-12-31|2020-01-01|2020-01-16|Won|Marketing|0.0|35907.83|EUR|Do not use - Marketing before 2021|No specific Use Case yet|Stand-alone radical Graphical User Interface
00609000002J51eAAC|00109000005fuASAAY|Renew|00509000000V8fOAAS|2020-01-01|2020-12-31|2020-01-01|2021-01-26|Lost|Other|0.0|0.0|EUR| |No specific Use Case yet|Focused disintermediate secured line
00609000002IvNTAA0|00109000005ftjDAAQ|Renew|00509000000Wm9iAAC|2020-01-01|2020-12-31|2020-01-01|2020-01-16|Won|Other|0.0|12540.9|EUR| | |Business-focused motivating parallelism
00609000002Iv6OAAS|00109000005fsFJAAY|Renew|00509000000V8dIAAS|2020-01-01|2020-12-31|2020-01-01|2020-01-14|Won|Marketing|0.0|20555.75|EUR|Do not use - Marketing before 2021|Embedded Analytics for Software Companies|Organized reciprocal hub
00609000002IvPGAA0|00109000005fu8YAAQ|Renew|00509000000V8fdAAC|2020-01-21|2020-12-30|2020-01-01|2019-09-09|Won|Sales/CSM|0.0|118128.03|EUR|Sales Generated Lead - AE, CSM, SDR| |Total leadingedge product
00609000002IuFCAA0|00109000005frzjAAA|Renew|00509000000V8dTAAS|2020-01-01|2020-12-31|2020-01-01|2019-12-03|Won|Sales/CSM|0.0|75910.91|EUR|Sales Generated Lead - AE, CSM, SDR|Embedded Analytics for Software Companies|Realigned zero-defect matrices
00609000002IvNkAAK|00109000005ftjRAAQ|Renew|00509000000V8fJAAS|2020-01-01|2020-12-31|2020-01-01|2020-01-17|Won|Marketing|0.0|84437.1|EUR|Do not use - Marketing before 2021| |Advanced cohesive throughput
00609000002IuDWAA0|00109000005frwLAAQ|Renew|00509000000V8dTAAS|2020-01-01|2020-12-31|2019-11-19|2019-11-19|Won|Marketing|0.0|55297.29|EUR|Do not use - Marketing before 2021| |User-centric multi-state methodology
00609000002IuL1AAK|00109000005fsHCAAY|Renew|00509000000V8fsAAC|2020-01-01|2020-12-31|2020-01-01|2020-01-16|Lost|Marketing|0.0|27523.57|EUR|Do not use - Marketing before 2021|No specific Use Case yet|Polarized demand-driven paradigm
00609000002IvJQAA0|00109000005ftCWAAY|Renew|00509000000V8gHAAS|2020-02-01|2021-01-31|2019-12-21|2019-11-04|Won|Sales/CSM|0.0|39743.68|EUR|Sales Generated Lead - AE, CSM, SDR| |Team-oriented bandwidth-monitored flexibility
00609000002IvDmAAK|00109000005fsm9AAA|Renew|00509000000V8dwAAC|2020-02-01|2021-01-31|2020-02-11|2020-01-16|Won|Marketing|0.0|76098.05|EUR|Do not use - Marketing before 2021| |Open-architected analyzing capability
00609000002IvGfAAK|00109000005ft1rAAA|Renew|00509000000V8fJAAS|2020-02-01|2021-01-31|2018-12-18|2020-01-17|Won|Marketing|0.0|182077.41|EUR|Do not use - Marketing before 2021| |Stand-alone coherent synergy
00609000002IuuAAAS|00109000005fy34AAA|Renew|00509000000V8eLAAS|2020-02-01|2021-01-31|2020-01-02|2020-01-15|Won|Other|0.0|44147.33|EUR| | |Face-to-face uniform implementation
00609000002IucpAAC|00109000005ftTtAAI|Renew|00509000000V8fdAAC|2020-02-09|2021-02-08|2020-01-09|2020-01-14|Won|Other|0.0|43222.54|EUR| | |Cloned well-modulated migration
00609000002IuSKAA0|00109000005fskPAAQ|Renew|00509000000V8eLAAS|2020-03-06|2021-03-05|2020-02-11|2020-02-20|Won|Marketing|0.0|32832.09|EUR|Do not use - Marketing before 2021| |Multi-lateral eco-centric help-desk
00609000002IuETAA0|00109000005frxtAAA|Renew|00509000000V8fdAAC|2020-03-01|2021-02-28|2020-03-01|2019-09-02|Won|Marketing|0.0|44833.0|EUR|Do not use - Marketing before 2021| |Organic mobile software
00609000002IvSiAAK|00109000005fvDXAAY|Renew|00509000000V8dTAAS|2020-03-25|2021-03-24|2020-03-25|2019-09-12|Won|Sales/CSM|0.0|159029.55|EUR|Sales Generated Lead - AE, CSM, SDR| |Centralized maximized groupware
00609000002IvLNAA0|00109000005ftOVAAY|Renew|00509000000V8fJAAS|2020-03-15|2021-03-14|2020-02-12|2018-04-05|Won|Marketing|0.0|26695.15|EUR|Do not use - Marketing before 2021| |Decentralized object-oriented emulation
00609000002IuTRAA0|00109000005fsncAAA|Renew|00509000000V8dwAAC|2020-03-01|2021-02-28|2020-01-21|2019-08-27|Won|Other|0.0|67783.18|EUR| | |Distributed neutral time-frame
00609000002IvSnAAK|00109000005fvDXAAY|Renew|00509000000V8dTAAS|2020-03-27|2021-03-26|2020-03-27|2020-02-25|Won|Alliances|0.0|31110.57|EUR|Partner Sourced - Alliances|No specific Use Case yet|Front-line 24hour budgetary management
00609000002IuI8AAK|00109000005fsBmAAI|Renew|00509000000V64gAAC|2020-04-25|2021-04-24|2019-02-25|2018-09-07|Won|Other|0.0|83431.74|EUR| | |Object-based tangible methodology
00609000002IuLYAA0|00109000005fsIwAAI|Renew|00509000000V8eQAAS|2020-04-01|2021-03-31|2020-04-01|2019-09-13|Won|Marketing|0.0|128544.48000000001|EUR|Do not use - Marketing before 2021| |Automated analyzing middleware
00609000002IuRgAAK|00109000005fsjiAAA|Renew|00509000000V8dTAAS|2020-04-01|2021-03-31|2019-04-01|2020-03-27|Won|Other|0.0|36843.35|EUR| | |Diverse foreground flexibility
00609000002Iv0hAAC|00109000005frusAAA|Renew|00509000000V8fYAAS|2020-04-30|2021-04-29|2020-06-01|2019-08-30|Won|Marketing|0.0|8658.3|EUR|Do not use - Marketing before 2021| |Triple-buffered asynchronous success
00609000002Iv5LAAS|00109000005fsCOAAY|Renew|00509000000V8fYAAS|2020-04-25|2022-04-24|2020-04-25|2019-09-12|Lost|Other|0.0|140990.18|EUR| | |Compatible context-sensitive interface
00609000002IuaLAAS|00109000005ftG6AAI|Renew|00509000000V64gAAC|2020-04-01|2020-07-31|2020-04-01|2020-06-29|Won|Marketing|0.0|10547.11|EUR|Do not use - Marketing before 2021|No specific Use Case yet|Adaptive human-resource utilization
00609000002IumIAAS|00109000005fuc2AAA|Renew|00509000000V8fYAAS|2020-05-01|2021-02-28|2020-05-01|2019-08-30|Lost|Other|0.0|25204.059999999998|EUR| |Embedded Analytics for Software Companies|Front-line scalable encryption
00609000002IuWAAA0|00109000005fstfAAA|Renew|00509000000V8gMAAS|2020-05-23|2021-05-22|2019-03-13|2019-03-13|Won|Other|0.0|57312.81|EUR| | |Polarized needs-based Internet solution
00609000002Iv3HAAS|00109000005fs1sAAA|Renew|00509000000V8fJAAS|2020-05-01|2021-04-30|2020-05-01|2018-06-04|Won|Alliances|0.0|119943.49|EUR|Partner Sourced - Alliances| |Total content-based secured line
00609000002IuLmAAK|00109000005fsJ6AAI|Renew|00509000000V8f4AAC|2020-05-14|2021-05-13|2020-05-14|2019-08-30|Lost|Sales/CSM|0.0|18785.66|EUR|Sales Generated Lead - AE, CSM, SDR|No specific Use Case yet|Business-focused executive data-warehouse
00609000002IuVbAAK|00109000005fssGAAQ|Renew|00509000000V8eQAAS|2020-05-01|2021-04-30|2020-05-01|2019-08-28|Won|Other|0.0|56601.5|EUR| | |Cloned regional model
00609000002IvJBAA0|00109000005ftAfAAI|Renew|00509000000V8gMAAS|2020-06-30|2021-06-29|2018-06-15|2020-05-07|Won|Other|0.0|198105.24|EUR| | |Implemented global array
00609000002IvOnAAK|00109000005fu69AAA|Renew|00509000000V8g2AAC|2020-06-03|2021-06-02|2020-06-03|2019-06-25|Lost|Alliances|0.0|8813.4|EUR|Partner Sourced - Alliances|No specific Use Case yet|Pre-emptive non-volatile collaboration
00609000002IueTAAS|00109000005ftiyAAA|Renew|00509000000V8f4AAC|2020-06-17|2021-06-16|2020-06-01|2019-06-28|Won|Marketing|0.0|92549.98|EUR|Do not use - Marketing before 2021| |Mandatory system-worthy attitude
00609000002J4yXAAS|00109000005fwZEAAY|Renew|00509000000V8dcAAC|2020-06-05|2021-06-04|2020-06-05|2021-01-26|Lost|Other|0.0|0.0|EUR| |No specific Use Case yet|Up-sized clear-thinking knowledgebase
00609000002IvKuAAK|00109000005ftKXAAY|Renew|00509000000Wm9iAAC|2020-06-28|2021-06-27|2020-06-01|2019-04-23|Won|Other|0.0|60382.37|EUR| | |Realigned upward-trending software
00609000002IuPOAA0|00109000005fsUGAAY|Renew|00509000000V8eLAAS|2020-07-15|2021-07-14|2020-07-15|2020-05-19|Won|Sales/CSM|0.0|190066.4|EUR|Sales Generated Lead - AE, CSM, SDR| |Customer-focused explicit projection
00609000002Iv8CAAS|00109000005fsIbAAI|Renew|00509000000V8eQAAS|2020-07-01|2021-06-30|2020-07-01|2020-06-29|Won|Marketing|0.0|47273.22|EUR|Do not use - Marketing before 2021|No specific Use Case yet|Re-contextualized actuating hierarchy
00609000002IuFaAAK|00109000005fs0PAAQ|Renew|00509000000V8h0AAC|2020-07-01|2020-12-31|2020-07-01|2020-05-05|Won|Other|0.0|27997.809999999998|EUR| |No specific Use Case yet|Mandatory didactic adapter
00609000002J4z2AAC|00109000005fsQTAAY|Renew|00509000000V8dcAAC|2020-07-26|2021-07-25|2020-07-26|2021-01-26|Won|Other|0.0|52603.0|EUR| |No specific Use Case yet|Ergonomic non-volatile intranet
00609000002Iul2AAC|00109000005fuMAAAY|Renew|00509000000V8eLAAS|2020-07-01|2021-06-30|2020-07-01|2020-04-30|Won|Marketing|0.0|57168.89|EUR|Do not use - Marketing before 2021|No specific Use Case yet|Re-contextualized homogeneous Local Area Network
00609000007Vfy3AAC|00109000005fsnHAAQ|Renew|00509000000V8dhAAC|2020-07-01|2020-12-31|2020-07-01|2021-06-15|Lost|Marketing|0.0|27261.2|EUR|Do not use - Marketing before 2021|No specific Use Case yet|Seamless mobile analyzer
00609000002IunPAAS|00109000005fuoWAAQ|Renew|00509000000V8fEAAS|2020-08-01|2021-07-31|2020-08-01|2020-08-26|Lost|Alliances|33638.41|0.0|EUR|Partner Sourced - Alliances| |Grass-roots multi-state open system
00609000002J51AAAS|00109000005ftG6AAI|Renew|00509000000V8drAAC|2020-08-01|2020-12-31|2020-08-01|2021-01-26|Lost|Other|0.0|15639.779999999999|EUR| |No specific Use Case yet|Persistent cohesive system engine
00609000002IuHTAA0|00109000005fs5LAAQ|Renew|00509000000V8fEAAS|2020-08-01|2021-07-31|2020-08-01|2019-09-13|Won|Alliances|0.0|24279.61|EUR|Partner Sourced - Alliances| |Pre-emptive optimal archive
00609000002Iud3AAC|00109000005ftbbAAA|Renew|00509000000V8euAAC|2020-08-15|2021-08-14|2020-08-15|2019-08-28|Won|Other|0.0|29650.64|EUR| |Embedded Analytics for Software Companies|Compatible systematic neural-net
00609000002IuciAAC|00109000005ftThAAI|Renew|00509000000V8dwAAC|2020-09-01|2021-08-31|2020-09-01|2019-09-04|Lost|Other|0.0|36070.83|EUR| | |Automated homogeneous product
00609000002IvPRAA0|00109000005fu9JAAQ|Renew|00509000000V8g2AAC|2020-09-01|2021-08-31|2019-09-01|2020-08-26|Won|Marketing|0.0|8491.83|EUR|Do not use - Marketing before 2021| |Customer-focused client-driven ability
00609000002IuPwAAK|00109000005fsXTAAY|Renew|00509000000V8eLAAS|2020-09-12|2021-09-11|2020-09-12|2020-09-03|Won|Marketing|0.0|67733.18|EUR|Do not use - Marketing before 2021|No specific Use Case yet|Self-enabling cohesive alliance
00609000002IupQAAS|00109000005fvB2AAI|Renew|00509000000V8f4AAC|2020-09-01|2021-08-31|2020-09-01|2020-04-30|Won|Sales/CSM|0.0|73271.91|EUR|Sales Generated Lead - AE, CSM, SDR| |Managed eco-centric matrix
00609000002IuTpAAK|00109000005fsnpAAA|Renew|00509000000V8eLAAS|2020-09-23|2021-09-22|2019-10-02|2020-09-22|Won|Marketing|0.0|34625.42|EUR|Do not use - Marketing before 2021| |Profound transitional project
00609000002IvPeAAK|00109000005fuAWAAY|Renew|00509000000V8eLAAS|2020-09-29|2021-09-28|2020-09-29|2020-01-14|Won|Sales/CSM|0.0|46488.880000000005|EUR|Sales Generated Lead - AE, CSM, SDR|No specific Use Case yet|Assimilated analyzing archive
0060900000G7FB7AAN|00109000005ftctAAA|Renew|00509000000WaKUAA0|2020-09-01|2021-08-31|2020-09-01|2021-12-09|Won|Other|0.0|13831.02|EUR| | |Switchable executive matrices
00609000002IvHXAA0|00109000005ft4AAAQ|Renew|00509000000V8euAAC|2020-09-01|2021-03-31|2020-09-01|2020-01-15|Won|Sales/CSM|11478.5|64798.3|EUR|Sales Generated Lead - AE, CSM, SDR|Embedded Analytics for Software Companies|Universal client-driven hierarchy
00609000002IujYAAS|00109000005fuDKAAY|Renew|00509000000V8dwAAC|2020-09-01|2021-12-31|2019-06-27|2020-08-25|Won|Sales/CSM|0.0|44311.72|EUR|Sales Generated Lead - AE, CSM, SDR| |Re-engineered bifurcated archive
00609000002IvFAAA0|00109000005fspBAAQ|Renew|00509000000V8eLAAS|2020-09-15|2021-09-14|2018-03-22|2020-09-24|Won|Alliances|0.0|60686.119999999995|EUR|Partner Sourced - Alliances| |Persistent asymmetric capacity
00609000002IugvAAC|00109000005ftzjAAA|Renew|00509000000V8dwAAC|2020-10-21|2021-10-20|2020-10-21|2020-11-05|Won|Marketing|0.0|37604.82|EUR|Do not use - Marketing before 2021|No specific Use Case yet|Quality-focused modular collaboration
00609000002IuRwAAK|00109000005fsjtAAA|Renew|00509000000V8eQAAS|2020-11-28|2021-11-27|2019-12-23|2020-12-04|Won|Sales/CSM|0.0|22195.61|EUR|Sales Generated Lead - AE, CSM, SDR| |Adaptive demand-driven help-desk
00609000002IvCFAA0|00109000005fshdAAA|Renew|00509000000V8dTAAS|2020-11-05|2021-11-04|2019-11-04|2020-09-22|Won|Marketing|0.0|74121.35|EUR|Do not use - Marketing before 2021| |Front-line 5thgeneration leverage
00609000002IuZ9AAK|00109000005ft8DAAQ|Renew|00509000000V8eQAAS|2020-11-07|2021-11-06|2019-11-25|2020-08-10|Won|Sales/CSM|0.0|97045.97|EUR|Sales Generated Lead - AE, CSM, SDR| |Mandatory 24hour contingency
00609000002Iv7kAAC|00109000005fsIIAAY|Renew|00509000000V8fEAAS|2020-11-13|2021-11-12|2020-11-13|2020-01-22|Won|Sales/CSM|0.0|66784.37|EUR|Sales Generated Lead - AE, CSM, SDR| |Programmable multi-tasking website
00609000002IuaBAAS|00109000005ftG2AAI|Renew|00509000000V8ezAAC|2020-11-18|2021-11-17|2020-11-18|2020-10-14|Won|Marketing|0.0|54792.979999999996|EUR|Do not use - Marketing before 2021|Embedded Analytics for Software Companies|Diverse empowering access
00609000002IvCBAA0|00109000005fshdAAA|Renew|00509000000V8dTAAS|2020-11-20|2022-03-28|2022-03-28|2020-05-19|Won|Other|0.0|41311.52|EUR| | |Multi-lateral leadingedge productivity
00609000002IvUSAA0|00109000005fwiAAAQ|Renew|00509000000V8eQAAS|2020-12-24|2021-12-23|2019-12-24|2020-10-07|Lost|Alliances|0.0|23895.0|EUR|Partner Sourced - Alliances| |Operative didactic project
00609000007VfzLAAS|00109000005ftaxAAA|Renew|00509000000WaNTAA0|2020-12-31|2021-12-30|2020-12-31|2021-06-15|Lost|Alliances|0.0|20920.78|EUR|Partner Sourced - Alliances|Embedded Analytics for Software Companies|Horizontal bi-directional strategy
00609000002IvPHAA0|00109000005fu8YAAQ|Renew|00509000000V8drAAC|2020-12-31|2021-12-31|2020-12-31|2019-09-09|Lost|Sales/CSM|0.0|147334.78|EUR|Sales Generated Lead - AE, CSM, SDR| |Operative empowering service-desk
00609000002J50FAAS|00109000005ftCWAAY|Renew|00509000000V8dSAAS|2020-12-27|2021-12-27|2020-12-27|2021-01-26|Won|Other|0.0|39978.75|EUR| | |Synchronized object-oriented open system
00609000002Iv3sAAC|00109000005fs6MAAQ|Renew|00509000000V8fsAAC|2020-12-14|2021-12-13|2020-12-20|2020-03-04|Won|Alliances|0.0|61159.02|EUR|Partner Sourced - Alliances| |Configurable regional synergy
00609000002IvLsAAK|00109000005ftYOAAY|Renew|00509000000V8eQAAS|2020-12-10|2021-12-09|2019-08-19|2020-12-10|Won|Marketing|0.0|50499.47|EUR|Do not use - Marketing before 2021| |Public-key 4thgeneration matrix
00609000002J50bAAC|00109000005fuWSAAY|Renew|00509000000V8drAAC|2020-12-20|2021-12-19|2020-12-20|2021-01-26|Won|Other|0.0|11477.050000000001|EUR| |No specific Use Case yet|Face-to-face uniform productivity
00609000007Vfz6AAC|00109000005fsXYAAY|Renew|00509000000WaNTAA0|2020-12-31|2021-12-30|2020-12-31|2021-06-15|Lost|Alliances|0.0|34256.729999999996|EUR|Partner Sourced - Alliances|No specific Use Case yet|Implemented attitude-oriented knowledge user
00609000002IuonAAC|00109000005fv1NAAQ|Renew|00509000000V8eLAAS|2020-12-02|2021-12-01|2019-09-24|2020-10-26|Won|Marketing|0.0|45379.97|EUR|Do not use - Marketing before 2021| |Synergistic eco-centric collaboration
00609000002IuL7AAK|00109000005fsHCAAY|Renew|00509000000V8fsAAC|2020-12-04|2021-12-03|2019-12-09|2020-12-21|Lost|Marketing|0.0|29763.809999999998|EUR|Do not use - Marketing before 2021| |Realigned tangible benchmark
00609000006sflvAAA|00109000005ftAXAAY|Renew|00509000000WaKkAAK|2021-01-15|2022-01-14|2021-01-15|2021-03-18|Lost|Other|63908.26|0.0|EUR| |Embedded Analytics for Software Companies|Total tertiary firmware
00609000002IvDPAA0|00109000005fsktAAA|Renew|00509000000V8drAAC|2021-01-01|2021-12-31|2020-08-01|2020-12-10|Won|Marketing|0.0|542634.3200000001|EUR|Do not use - Marketing before 2021| |Organic systemic paradigm
00609000002J4ybAAC|00109000005ftJ6AAI|Renew|00509000000V8dhAAC|2021-01-01|2021-06-30|2021-01-01|2021-01-26|Won|Other|0.0|259031.08000000002|EUR| | |Mandatory user-facing architecture
00609000002IuDYAA0|00109000005frwLAAQ|Renew|00509000000V8dmAAC|2021-01-01|2021-12-31|2020-11-19|2020-01-29|Won|Marketing|0.0|70305.16|EUR|Do not use - Marketing before 2021| |Intuitive composite collaboration
00609000002IvKAAA0|00109000005ftJ6AAI|Renew|00509000000V8dhAAC|2021-01-01|2021-12-31|2019-12-10|2020-10-27|Lost|Sales/CSM|0.0|68936.18|EUR|Sales Generated Lead - AE, CSM, SDR| |Automated system-worthy adapter
00609000006sfm0AAA|00109000005ftjRAAQ|Renew|00509000000V8dcAAC|2021-01-07|2022-01-06|2021-01-07|2021-03-18|Lost|Other|105791.22|0.0|EUR| |No specific Use Case yet|Networked coherent service-desk
00609000002IvNgAAK|00109000005ftjPAAQ|Renew|00509000000V8dSAAS|2021-01-01|2021-12-31|2020-12-31|2020-12-11|Won|Sales/CSM|0.0|25436.1|EUR|Sales Generated Lead - AE, CSM, SDR| |Reduced dynamic structure
00609000002IuaXAAS|00109000005ftGKAAY|Renew|00509000000V8dcAAC|2021-01-01|2021-12-31|2019-12-01|2020-10-07|Won|Sales/CSM|0.0|90800.14|EUR|Sales Generated Lead - AE, CSM, SDR| |Fundamental regional approach
00609000002J4ydAAC|00109000005fttbAAA|Renew|00509000000V8dcAAC|2021-01-01|2021-12-31|2021-01-01|2021-01-26|Won|Other|0.0|25141.73|EUR| | |Robust value-added Internet solution
00609000002IuZaAAK|00109000005ft8jAAA|Renew|00509000000V8dmAAC|2021-01-01|2021-12-31|2019-12-05|2020-12-11|Won|Sales/CSM|0.0|39475.97|EUR|Sales Generated Lead - AE, CSM, SDR| |Face-to-face tertiary collaboration
00609000002IvSSAA0|00109000005fvDMAAY|Renew|00509000000V8dXAAS|2021-01-01|2021-12-31|2019-02-11|2020-08-12|Won|Marketing|0.0|128723.47|EUR|Do not use - Marketing before 2021| |Horizontal upward-trending function
